Var1	Var2
1.02734375	-54.2124542124537
1.03125	-63.0036630036625
1.03515625	-86.4468864468859
1.0390625	-71.7948717948713
1.04296875	-19.0476190476185
1.046875	1.46520146520197
1.05078125	-13.1868131868127
1.0546875	-19.0476190476185
1.05859375	-4.39560439560389
1.0625	-36.6300366300361
1.06640625	-42.490842490842
1.0703125	-33.6996336996332
1.07421875	-21.9780219780215
1.078125	-19.0476190476185
1.08203125	-36.6300366300361
1.0859375	-39.5604395604391
1.08984375	-45.4212454212449
1.09375	-42.490842490842
1.09765625	-36.6300366300361
1.1015625	-19.0476190476185
1.10546875	-36.6300366300361
1.109375	-51.2820512820508
1.11328125	-74.7252747252742
1.1171875	-74.7252747252742
1.12109375	-54.2124542124537
1.125	-39.5604395604391
1.12890625	-16.1172161172156
1.1328125	-36.6300366300361
1.13671875	-42.490842490842
1.140625	-48.3516483516478
1.14453125	-45.4212454212449
1.1484375	-30.7692307692303
1.15234375	4.3956043956049
1.15625	16.1172161172166
1.16015625	4.3956043956049
1.1640625	-16.1172161172156
1.16796875	-39.5604395604391
1.171875	-36.6300366300361
1.17578125	-36.6300366300361
1.1796875	-39.5604395604391
1.18359375	-42.490842490842
1.1875	-36.6300366300361
1.19140625	-57.1428571428566
1.1953125	-63.0036630036625
1.19921875	-39.5604395604391
1.203125	-33.6996336996332
1.20703125	-13.1868131868127
1.2109375	4.3956043956049
1.21484375	-1.46520146520096
1.21875	-1.46520146520096
1.22265625	-10.2564102564098
1.2265625	-10.2564102564098
1.23046875	-10.2564102564098
1.234375	13.1868131868137
1.23828125	1.46520146520197
1.2421875	-30.7692307692303
1.24609375	-48.3516483516478
1.25	-54.2124542124537
1.25390625	-60.0732600732596
1.2578125	-30.7692307692303
1.26171875	-13.1868131868127
1.265625	4.3956043956049
1.26953125	-39.5604395604391
1.2734375	-21.9780219780215
1.27734375	-24.9084249084244
1.28125	4.3956043956049
1.28515625	42.490842490843
1.2890625	57.1428571428576
1.29296875	54.2124542124547
1.296875	24.9084249084254
1.30078125	24.9084249084254
1.3046875	21.9780219780225
1.30859375	10.2564102564108
1.3125	1.46520146520197
1.31640625	-10.2564102564098
1.3203125	-19.0476190476185
1.32421875	-36.6300366300361
1.328125	-42.490842490842
1.33203125	-36.6300366300361
1.3359375	-13.1868131868127
1.33984375	-33.6996336996332
1.34375	-48.3516483516478
1.34765625	-42.490842490842
1.3515625	-30.7692307692303
1.35546875	-30.7692307692303
1.359375	-60.0732600732596
1.36328125	-124.542124542124
1.3671875	-63.0036630036625
1.37109375	-36.6300366300361
1.375	-42.490842490842
1.37890625	-1.46520146520096
1.3828125	65.9340659340664
1.38671875	74.7252747252752
1.390625	86.446886446887
1.39453125	136.263736263737
1.3984375	244.688644688645
1.40234375	282.783882783883
1.40625	238.827838827839
1.41015625	112.820512820513
1.4140625	-45.4212454212449
1.41796875	-221.245421245421
1.421875	-347.252747252747
1.42578125	-361.904761904761
1.4296875	-312.087912087912
1.43359375	-244.688644688644
1.4375	-183.150183150183
1.44140625	-124.542124542124
1.4453125	-60.0732600732596
1.44921875	-33.6996336996332
1.453125	-33.6996336996332
1.45703125	-10.2564102564098
1.4609375	-19.0476190476185
1.46484375	-27.8388278388273
1.46875	-30.7692307692303
1.47265625	-57.1428571428566
1.4765625	-42.490842490842
1.48046875	-21.9780219780215
1.484375	-30.7692307692303
1.48828125	-36.6300366300361
1.4921875	-16.1172161172156
1.49609375	4.3956043956049
1.5	-7.32600732600682
1.50390625	-4.39560439560389
1.5078125	-4.39560439560389
1.51171875	-36.6300366300361
1.515625	-68.8644688644684
1.51953125	-51.2820512820508
1.5234375	-19.0476190476185
1.52734375	-7.32600732600682
1.53125	19.0476190476196
1.53515625	45.4212454212459
1.5390625	19.0476190476196
1.54296875	21.9780219780225
1.546875	16.1172161172166
1.55078125	19.0476190476196
1.5546875	24.9084249084254
1.55859375	27.8388278388283
1.5625	19.0476190476196
1.56640625	1.46520146520197
1.5703125	-7.32600732600682
1.57421875	1.46520146520197
1.578125	10.2564102564108
1.58203125	21.9780219780225
1.5859375	48.3516483516489
1.58984375	63.0036630036635
1.59375	101.098901098902
1.59765625	109.89010989011
1.6015625	112.820512820513
1.60546875	136.263736263737
1.609375	139.19413919414
1.61328125	139.19413919414
1.6171875	142.124542124543
1.62109375	177.289377289378
1.625	168.498168498169
1.62890625	177.289377289378
1.6328125	186.080586080587
1.63671875	174.358974358975
1.640625	156.776556776557
1.64453125	162.637362637363
1.6484375	189.01098901099
1.65234375	191.941391941392
1.65625	197.802197802198
1.66015625	203.663003663004
1.6640625	171.428571428572
1.66796875	159.70695970696
1.671875	142.124542124543
1.67578125	139.19413919414
1.6796875	147.985347985348
